Number,First,Len,Rotate,GNU,Rot13,FAQ6,Ly,Rs,Sum
10021,0,0,20,0,0,20,24,23,0
10022,0,0,22,0,3,16,22,27,0
10023,0,0,22,0,1,23,22,18,0
10024,0,0,18,0,4,24,21,10,0
10025,0,0,24,0,2,22,16,23,0
10026,0,0,17,0,0,22,27,24,0
10027,0,0,22,0,1,26,28,19,0
10028,0,0,17,0,2,20,16,19,0
10029,0,0,22,0,1,13,23,19,0
10030,0,0,22,0,0,16,19,15,0
10031,0,0,25,0,4,15,21,17,0
10032,0,0,28,0,1,21,19,25,0
10033,0,0,22,0,0,23,11,31,0
10034,0,0,19,0,1,19,18,17,0
10035,0,0,21,0,1,21,21,21,0
10036,0,0,18,0,1,25,18,15,0
10037,0,0,20,0,3,14,18,23,0
10038,0,0,29,0,2,18,13,19,0
10039,0,0,17,0,1,20,19,23,0
10040,0,0,15,0,0,24,18,20,0
10041,0,0,23,0,1,20,22,18,0
10042,0,0,18,0,1,19,14,24,0
10043,0,0,27,0,2,22,14,21,0
10044,0,0,20,0,3,22,21,27,0
10045,0,0,14,0,0,23,25,17,0
10046,0,0,19,0,2,20,16,21,0
10047,0,0,15,0,2,20,23,21,0
10048,0,0,17,0,2,22,17,28,0
10049,0,0,17,0,3,14,23,29,0
10050,0,0,20,0,1,17,20,23,0
10051,0,0,22,0,0,22,22,21,0
10052,0,0,23,0,3,16,18,22,0
10053,0,0,26,0,1,24,22,29,0
10054,0,0,24,0,0,32,22,17,0
10055,0,0,25,0,6,12,20,19,0
10056,0,0,22,0,1,12,21,20,0
10057,0,0,20,0,3,20,27,17,0
10058,0,0,26,0,0,28,16,20,0
10059,0,0,26,0,1,22,10,25,0
10060,0,0,26,0,9,15,18,17,0
10061,0,0,18,0,3,23,20,20,0
10062,0,0,23,0,3,19,18,21,0
10063,0,0,13,0,4,25,12,17,0
10064,0,0,25,0,2,22,14,14,0
10065,0,0,20,0,0,15,19,13,0
10066,0,0,23,0,1,24,27,18,0
10067,0,0,24,0,8,20,21,23,0
10068,0,0,23,0,6,25,24,20,0
10069,0,0,18,0,2,18,22,26,0
10070,0,0,12,0,8,19,29,20,0
10071,0,0,19,0,6,16,16,28,0
10072,0,0,21,0,7,17,15,24,0
10073,0,0,18,0,8,29,21,18,0
10074,0,0,28,0,6,20,20,12,0
10075,0,0,22,0,4,16,24,26,0
10076,0,0,22,0,9,18,17,22,0
10077,0,0,22,0,5,19,21,20,0
10078,0,0,18,0,9,14,22,20,0
10079,0,0,21,0,5,17,15,20,0
10080,0,0,23,0,4,29,25,15,0
10081,0,0,26,0,2,12,19,16,0
10082,0,0,18,0,4,20,14,14,0
10083,0,0,24,0,4,20,24,25,0
10084,0,0,20,0,3,16,21,19,0
10085,0,0,23,0,3,19,23,31,0
10086,0,0,19,0,4,18,32,28,0
10087,0,0,15,0,6,16,14,17,0
10088,0,0,26,0,4,21,20,28,0
10089,0,0,18,0,3,20,20,22,0
10090,0,0,24,0,7,22,21,16,0
10091,0,0,18,0,8,17,18,31,0
10092,0,0,12,0,3,19,22,20,0
10093,0,0,21,0,6,21,25,13,0
10094,0,0,17,0,5,26,17,21,0
10095,0,0,28,0,5,16,17,25,0
10096,0,0,29,0,7,21,20,19,0
10097,0,0,18,0,2,16,14,17,0
10098,0,0,18,0,5,17,12,19,0
10099,0,0,21,0,4,25,13,27,0
10100,0,0,14,0,2,23,24,22,0
10101,0,0,27,0,6,14,22,27,0
10102,0,0,21,0,3,23,23,23,0
10103,0,0,19,0,2,16,27,23,0
10104,0,0,16,0,4,22,24,14,0
10105,0,0,24,0,3,16,16,18,0
10106,0,0,15,0,2,20,17,25,0
10107,0,0,20,0,5,20,21,25,0
10108,0,0,21,0,4,12,20,25,0
10109,0,0,24,0,2,23,22,11,0
10110,0,0,33,0,4,23,16,15,0
10111,0,0,17,0,5,21,24,24,0
10112,0,0,26,0,4,26,20,20,0
10113,0,0,24,0,4,16,12,17,0
10114,0,0,18,0,1,16,25,24,0
10115,0,0,25,0,2,21,18,22,0
10116,0,0,19,0,1,22,18,31,0
10117,0,0,17,0,4,20,17,22,0
10118,0,0,27,0,2,22,19,25,0
10119,0,0,22,0,3,21,12,16,0
10120,0,0,20,0,4,19,17,22,0
10121,0,0,19,0,5,23,20,21,0
10122,0,0,16,0,4,16,27,31,0
10123,0,0,22,0,4,18,26,30,0
10124,0,0,22,0,3,18,27,15,0
10125,0,0,17,0,1,21,21,28,0
10126,0,0,22,0,3,19,17,24,0
10127,0,0,26,0,5,23,21,24,0
10128,0,0,19,0,4,18,21,17,0
10129,0,0,17,0,2,23,16,22,0
10130,0,0,22,0,0,19,16,29,0
10131,0,0,22,0,1,18,19,27,0
10132,0,0,25,0,1,25,22,21,0
10133,0,0,28,0,0,18,17,25,0
10134,0,0,16,0,3,19,23,23,0
10135,0,0,27,0,3,21,22,18,0
10136,0,0,23,0,0,26,17,19,0
10137,0,0,24,0,1,17,20,16,0
10138,0,0,25,0,0,14,16,15,0
10139,0,0,27,0,1,19,17,20,0
10140,0,0,21,0,1,20,17,25,0
10141,0,0,27,0,0,23,17,16,0
10142,0,0,12,0,2,17,30,22,0
10143,0,0,25,0,0,17,25,28,0
10144,0,0,20,0,1,16,32,27,0
10145,0,0,23,0,2,24,17,25,0
10146,0,0,20,0,1,20,18,24,0
10147,0,0,25,0,0,16,21,18,0
10148,0,0,26,0,1,25,23,18,0
10149,0,0,10,0,3,21,21,10,0
10150,0,0,17,0,1,24,15,29,0
10151,0,0,21,0,0,24,20,23,0
10152,0,0,24,0,3,26,21,19,0
10153,0,0,18,0,0,21,25,15,0
10154,0,0,18,0,0,16,27,25,0
10155,0,0,23,0,0,19,20,20,0
10156,0,0,16,0,0,15,21,22,0
10157,0,0,22,0,0,18,20,15,0
10158,0,0,15,0,1,20,20,19,0
10159,0,0,23,0,5,20,21,22,0
10160,0,0,27,0,2,7,20,21,0
10161,0,0,16,0,3,17,21,19,0
10162,0,0,21,0,4,21,24,19,0
10163,0,0,20,0,2,15,18,19,0
10164,0,0,17,0,0,26,20,20,0
10165,0,0,24,0,3,29,14,20,0
10166,0,0,24,0,3,22,17,15,0
10167,0,0,20,0,1,21,21,29,0
10168,0,0,19,0,1,18,17,15,0
10169,0,0,16,0,1,14,23,22,0
10170,0,0,24,0,2,18,21,19,0
10171,0,0,20,0,2,18,24,17,0
10172,0,0,19,0,5,27,19,19,0
10173,0,0,20,0,4,22,25,10,0
10174,0,0,17,0,2,14,25,18,0
10175,0,0,22,0,3,21,19,9,0
10176,0,0,21,0,3,16,21,19,0
10177,0,0,14,0,1,29,25,14,0
10178,0,0,18,0,2,20,23,24,0
10179,0,0,29,0,2,19,15,18,0
10180,0,0,16,0,3,23,20,25,0
10181,0,0,17,0,2,20,17,19,0
10182,0,0,18,0,1,24,14,21,0
10183,0,0,20,0,4,27,24,27,0
10184,0,0,26,0,3,17,21,21,0
10185,0,0,21,0,2,26,16,24,0
10186,0,0,27,0,0,18,21,16,0
10187,0,0,25,0,4,19,26,20,0
10188,0,0,23,0,2,19,21,16,0
10189,0,0,16,0,3,28,15,25,0
10190,0,0,26,0,3,22,21,25,0
10191,0,0,20,0,6,21,19,18,0
10192,0,0,20,0,1,19,25,19,0
10193,0,0,29,0,3,27,17,24,0
10194,0,0,12,0,3,29,29,26,0
10195,0,0,15,0,0,19,23,13,0
10196,0,0,28,0,3,29,32,20,0
10197,0,0,21,0,1,20,17,24,0
10198,0,0,22,0,2,22,23,22,0
10199,0,0,20,0,3,18,17,18,0
10200,0,0,17,0,0,28,23,17,0
10201,0,0,16,0,2,18,22,20,0
10202,0,0,18,0,2,16,22,32,0
10203,0,0,12,0,3,19,30,13,0
10204,0,0,22,0,2,15,16,31,0
10205,0,0,23,0,1,15,20,24,0
10206,0,0,24,0,6,20,15,20,0
10207,0,0,19,0,2,18,15,17,0
10208,0,0,29,0,3,21,24,12,0
10209,0,0,20,0,1,21,24,20,0
10210,0,0,20,0,5,22,20,21,0
10211,0,0,26,0,2,14,22,12,0
10212,0,0,23,0,5,17,18,17,0
10213,0,0,24,0,3,27,26,23,0
10214,0,0,16,0,4,18,22,19,0
10215,0,0,17,0,4,13,23,18,0
10216,0,0,23,0,5,19,28,23,0
10217,0,0,19,0,9,20,19,16,0
10218,0,0,22,0,9,21,22,20,0
10219,0,0,14,0,7,26,13,16,0
10220,0,0,17,0,8,21,14,23,0
10221,0,0,15,0,5,23,15,16,0
10222,0,0,27,0,12,17,14,19,0
10223,0,0,18,0,7,17,26,18,0
10224,0,0,28,0,6,24,16,15,0
10225,0,0,19,0,9,26,17,17,0
10226,0,0,22,0,11,15,21,24,0
10227,0,0,26,0,8,26,21,21,0
10228,0,0,19,0,9,29,14,21,0
10229,0,0,27,0,13,12,20,19,0
10230,0,0,16,0,12,31,26,17,0
10231,0,0,18,0,8,14,20,22,0
10232,0,0,18,0,12,23,20,29,0
10233,0,0,18,0,9,25,18,19,0
10234,0,0,24,0,11,20,18,24,0
10235,0,0,24,0,5,21,12,18,0
10236,0,0,12,0,9,19,18,23,0
10237,0,0,23,0,15,18,20,13,0
10238,0,0,19,0,10,23,21,17,0
10239,0,0,22,0,5,25,26,21,0
10240,0,0,13,0,2,26,13,25,0
10241,0,0,20,0,4,22,22,22,0
10242,0,0,22,0,7,21,19,24,0
10243,0,0,29,0,2,22,23,20,0
10244,0,0,18,0,4,27,21,16,0
10245,0,0,21,0,4,19,20,25,0
10246,0,0,20,0,3,23,16,28,0
10247,0,0,23,0,0,20,27,21,0
10248,0,0,26,0,4,19,19,20,0
10249,0,0,30,0,5,20,30,19,0
10250,0,0,17,0,1,22,14,23,0
10251,0,0,17,0,1,22,22,23,0
10252,0,0,23,0,1,20,18,17,0
10253,0,0,15,0,0,17,23,24,0
10254,0,0,15,0,2,23,24,11,0
10255,0,0,24,0,4,22,21,21,0
10256,0,0,17,0,1,21,20,27,0
10257,0,0,23,0,1,20,19,22,0
10258,0,0,30,0,0,22,13,21,0
10259,0,0,22,0,0,18,22,21,0
10260,0,0,24,0,0,30,14,23,0
10261,0,0,28,0,0,15,18,14,0
10262,0,0,22,0,0,26,16,23,0
10263,0,0,24,0,1,21,17,19,0
10264,0,0,20,0,0,19,20,20,0
10265,0,0,21,0,0,23,19,17,0
10266,0,0,20,0,1,18,9,19,0
10267,0,0,21,0,1,18,22,18,0
10268,0,0,23,0,1,14,17,28,0
10269,0,0,23,0,1,15,18,16,0
10270,0,0,22,0,1,15,28,19,0
10271,0,0,22,0,1,31,25,14,0
10272,0,0,17,0,1,21,22,26,0
10273,0,0,16,0,1,21,18,13,0
10274,0,0,19,0,3,19,15,26,0
10275,0,0,18,0,1,26,20,21,0
10276,0,0,23,0,0,24,22,23,0
10277,0,0,28,0,2,26,18,24,0
10278,0,0,26,0,2,26,20,16,0
10279,0,0,20,0,0,23,22,11,0
10280,0,0,18,0,0,23,20,16,0
10281,0,0,27,0,0,27,14,20,0
10282,0,0,14,0,2,22,22,16,0
10283,0,0,29,0,2,19,23,16,0
10284,0,0,19,0,2,17,26,24,0
10285,0,0,22,0,1,20,12,20,0
10286,0,0,17,0,1,23,26,19,0
10287,0,0,23,0,0,19,27,32,0
10288,0,0,27,0,1,21,18,25,0
10289,0,0,22,0,3,20,21,23,0
10290,0,0,16,0,2,29,15,29,0
10291,0,0,22,0,1,16,19,18,0
10292,0,0,21,0,2,21,27,25,0
10293,0,0,21,0,0,22,26,21,0
10294,0,0,21,0,1,21,27,19,0
10295,0,0,18,0,0,16,24,25,0
10296,0,0,17,0,1,24,24,21,0
10297,0,0,21,0,2,19,33,19,0
10298,0,0,21,0,1,13,27,18,0
10299,0,0,28,0,2,22,19,21,0
10300,0,0,35,0,2,18,18,20,0
10301,0,0,27,0,1,21,19,22,0
10302,0,0,24,0,2,19,31,25,0
10303,0,0,21,0,0,18,15,16,0
10304,0,0,22,0,2,22,21,15,0
10305,0,0,21,0,2,23,12,18,0
10306,0,0,23,0,3,25,19,25,0
10307,0,0,20,0,2,19,22,21,0
10308,0,0,18,0,2,20,26,26,0
10309,0,0,26,0,1,19,14,20,0
10310,0,0,23,0,4,22,14,24,0
10311,0,0,21,0,4,18,23,23,0
10312,0,0,22,0,7,19,18,20,0
10313,0,0,20,0,1,17,29,23,0
10314,0,0,21,0,6,24,20,17,0
10315,0,0,15,0,5,19,25,18,0
10316,0,0,11,0,6,25,24,16,0
10317,0,0,22,0,2,14,21,20,0
10318,0,0,24,0,5,22,31,19,0
10319,0,0,18,0,3,21,20,29,0
10320,0,0,20,0,6,17,21,19,0
10321,0,0,19,0,7,22,22,16,0
10322,0,0,22,0,11,18,25,19,0
10323,0,0,17,0,9,28,20,24,0
10324,0,0,16,0,17,22,17,22,0
10325,0,0,19,0,11,16,23,21,0
10326,0,0,22,0,11,24,14,13,0
10327,0,0,19,0,11,31,24,29,0
10328,0,0,19,0,12,25,15,27,0
10329,0,0,21,0,12,15,25,7,0
10330,0,0,27,0,11,22,12,24,0
10331,0,0,24,0,10,14,18,20,0
10332,0,0,24,0,14,22,15,23,0
10333,0,0,26,0,12,17,28,20,0
10334,0,0,13,0,12,17,26,26,0
10335,0,0,27,0,12,21,26,25,0
10336,0,0,19,0,24,23,27,13,0
10337,0,0,23,0,15,23,26,16,0
10338,0,0,17,0,16,13,28,24,0
10339,0,0,19,0,12,21,15,14,0
10340,0,0,16,0,9,14,12,17,0
10341,0,0,27,0,12,20,18,23,0
10342,0,0,18,0,20,25,22,13,0
10343,0,0,19,0,12,17,24,23,0
10344,0,0,29,0,17,27,16,22,0
10345,0,0,16,0,15,13,28,14,0
10346,0,0,23,0,13,13,27,24,0
10347,0,0,23,0,11,19,14,20,0
10348,0,0,16,0,14,29,15,20,0
10349,0,0,13,0,7,16,14,21,0
10350,0,0,29,0,7,22,13,12,0
10351,0,0,14,0,13,23,19,27,0
10352,0,0,26,0,12,22,23,25,0
10353,0,0,28,0,6,16,27,26,0
10354,0,0,19,0,12,22,20,18,0
10355,0,0,26,0,5,22,20,17,0
10356,0,0,17,0,9,20,15,16,0
10357,0,0,20,0,3,10,20,19,0
10358,0,0,19,0,3,24,20,21,0
10359,0,0,28,0,7,19,23,28,0
10360,0,0,27,0,7,22,28,26,0
10361,0,0,19,0,2,28,17,24,0
10362,0,0,15,0,3,19,22,23,0
10363,0,0,21,0,3,28,24,13,0
10364,0,0,24,0,5,19,11,22,0
10365,0,0,22,0,3,23,21,23,0
10366,0,0,15,0,4,24,22,20,0
10367,0,0,18,0,1,17,19,20,0
10368,0,0,30,0,3,23,14,27,0
10369,0,0,18,0,1,21,22,15,0
10370,0,0,19,0,0,26,21,26,0
10371,0,0,24,0,0,17,24,17,0
10372,0,0,16,0,2,15,26,15,0
10373,0,0,24,0,2,17,29,17,0
10374,0,0,20,0,0,13,17,20,0
10375,0,0,27,0,0,24,12,29,0
10376,0,0,16,0,1,17,18,12,0
10377,0,0,21,0,1,20,20,16,0
10378,0,0,19,0,0,18,31,14,0
10379,0,0,17,0,0,30,18,23,0
10380,0,0,14,0,0,25,18,12,0
10381,0,0,18,0,1,15,26,25,0
10382,0,0,17,0,0,18,15,22,0
10383,0,0,18,0,0,17,16,19,0
10384,0,0,30,0,0,24,24,28,0
10385,0,0,24,0,0,27,12,13,0
10386,0,0,16,0,1,19,24,16,0
10387,0,0,13,0,0,23,22,19,0
10388,0,0,14,0,0,17,18,20,0
10389,0,0,28,0,0,31,21,25,0
10390,0,0,30,0,0,24,17,17,0
10391,0,0,24,0,0,20,26,29,0
10392,0,0,22,0,0,15,25,18,0
10393,0,0,16,0,0,26,17,20,0
10394,0,0,21,0,0,23,20,26,0
10395,0,0,22,0,0,17,22,14,0
10396,0,0,18,0,1,19,36,16,0
10397,0,0,19,0,1,25,20,15,0
10398,0,0,14,0,0,19,16,17,0
10399,0,0,18,0,0,23,30,20,0
10400,0,0,33,0,1,20,16,21,0
10401,0,0,17,0,1,22,17,18,0
10402,0,0,26,0,0,15,20,18,0
10403,0,0,18,0,0,21,22,26,0
10404,0,0,27,0,0,19,26,24,0
10405,0,0,24,0,0,19,21,17,0
10406,0,0,17,0,2,19,15,25,0
10407,0,0,24,0,1,21,27,22,0
10408,0,0,18,0,3,12,16,23,0
10409,0,0,21,0,2,17,21,18,0
10410,0,0,14,0,2,16,25,24,0
10411,0,0,24,0,0,16,22,25,0
10412,0,0,18,0,1,14,16,15,0
10413,0,0,26,0,4,16,22,22,0
10414,0,0,28,0,1,21,22,19,0
10415,0,0,24,0,4,23,25,23,0
10416,0,0,24,0,3,24,14,27,0
10417,0,0,19,0,7,25,25,14,0
10418,0,0,18,0,10,21,11,17,0
10419,0,0,24,0,1,14,25,17,0
10420,0,0,26,0,9,12,19,17,0
10421,0,0,26,0,7,17,28,16,0
10422,0,0,21,0,8,15,22,21,0
10423,0,0,16,0,8,29,25,11,0
10424,0,0,14,0,16,10,27,15,0
10425,0,0,25,0,10,20,28,26,0
10426,0,0,17,0,11,18,28,23,0
10427,0,0,20,0,12,18,20,19,0
10428,0,0,18,0,21,16,22,26,0
10429,0,0,20,0,13,18,17,14,0
10430,0,0,20,0,15,25,19,21,0
10431,0,0,22,0,13,24,19,18,0
10432,0,0,13,0,16,20,18,28,0
10433,0,0,23,0,13,30,24,30,0
10434,0,0,14,0,15,18,20,20,0
10435,0,0,29,0,12,17,29,20,0
10436,0,0,19,3535,17,14,15,26,0
10437,0,0,10,0,14,19,23,29,0
10438,0,0,19,0,15,22,27,21,0
10439,0,0,15,0,20,15,16,19,0
10440,0,0,23,0,27,19,20,20,0
10441,0,0,14,0,22,16,24,19,0
10442,0,0,30,0,25,21,23,28,0
10443,0,0,21,0,24,17,19,18,0
10444,0,0,22,0,22,13,15,16,0
10445,0,0,22,0,20,27,21,25,0
10446,0,0,17,0,25,24,28,17,0
10447,0,0,11,0,17,20,24,25,0
10448,0,0,16,0,17,23,21,18,0
10449,0,0,12,0,20,16,17,22,0
10450,0,0,20,0,19,25,17,21,0
10451,0,0,23,0,10,25,20,22,0
10452,0,0,23,0,12,20,17,21,0
10453,0,0,21,0,21,22,24,22,0
10454,0,0,26,0,25,22,16,19,0
10455,0,0,27,0,15,23,19,18,0
10456,0,0,16,0,19,20,23,26,0
10457,0,0,19,0,15,20,21,31,0
10458,0,0,16,0,14,19,29,19,0
10459,0,0,20,0,16,18,23,15,0
10460,0,0,14,0,13,20,15,19,0
10461,0,0,24,0,7,17,24,21,0
10462,0,0,24,0,13,28,13,16,0
10463,0,0,16,0,13,20,17,21,0
10464,0,0,22,0,8,19,23,18,0
10465,0,0,25,0,9,27,24,17,0
10466,0,0,19,0,7,32,18,22,0
10467,0,0,31,0,8,16,29,22,0
10468,0,0,17,0,7,14,24,20,0
10469,0,0,26,0,5,17,13,19,0
10470,0,0,17,0,7,15,23,17,0
10471,0,0,28,0,7,28,20,17,0
10472,0,0,23,0,6,19,17,19,0
10473,0,0,20,0,5,19,27,25,0
10474,0,0,26,0,4,24,18,21,0
10475,0,0,27,0,1,18,18,20,0
10476,0,0,28,0,1,27,24,27,0
10477,0,0,22,0,3,13,19,23,0
10478,0,0,17,0,5,19,18,22,0
10479,0,0,20,0,2,20,29,21,0
10480,0,0,21,0,2,25,17,26,0
10481,0,0,19,0,4,17,27,28,0
10482,0,0,19,0,2,22,27,13,0
10483,0,0,18,0,4,12,21,16,0
10484,0,0,23,0,2,21,21,12,0
10485,0,0,26,0,3,25,23,19,0
10486,0,0,18,0,1,26,27,25,0
10487,0,0,32,0,0,16,12,10,0
10488,0,0,25,0,3,19,19,13,0
10489,0,0,27,0,0,18,23,16,0
10490,0,0,25,0,0,23,19,22,0
10491,0,0,21,0,0,29,18,18,0
10492,0,0,19,0,2,20,18,16,0
10493,0,0,34,0,0,12,23,24,0
10494,0,0,21,0,0,18,24,23,0
10495,0,0,19,0,0,17,21,22,0
10496,0,0,16,0,1,13,18,23,0
10497,0,0,25,0,0,18,18,20,0
10498,0,0,27,0,0,18,19,24,0
10499,0,0,19,0,1,22,17,18,0
10500,0,0,23,0,0,27,14,21,0
10501,0,0,16,0,0,19,17,18,0
10502,0,0,23,0,1,17,19,18,0
10503,0,0,24,0,0,22,23,30,0
10504,0,0,19,0,0,16,18,22,0
10505,0,0,16,0,0,21,14,21,0
10506,0,0,21,0,0,32,21,12,0
10507,0,0,22,0,0,16,20,14,0
10508,0,0,18,0,0,19,23,27,0
10509,0,0,25,0,1,25,19,20,0
10510,0,0,16,0,0,16,15,29,0
10511,0,0,23,0,0,16,19,20,0
10512,0,0,16,0,1,15,22,24,0
10513,0,0,19,0,0,21,17,26,0
10514,0,0,23,0,2,23,20,18,0
10515,0,0,14,0,3,24,19,20,0
10516,0,0,24,0,0,24,23,26,0
10517,0,0,7,0,0,13,19,18,0
10518,0,0,14,0,3,24,27,23,0
10519,0,0,27,0,4,24,31,20,0
10520,0,0,22,0,3,20,25,19,0
10521,0,0,27,0,1,20,15,20,0
10522,0,0,24,0,3,13,25,22,0
10523,0,0,23,0,3,21,18,15,0
10524,0,0,19,0,5,31,19,19,0
10525,0,0,20,0,10,25,16,24,0
10526,0,0,30,0,7,24,27,24,0
10527,0,0,16,0,5,14,23,19,0
10528,0,0,19,0,10,19,19,14,0
10529,0,0,21,0,10,25,15,24,0
10530,0,0,30,0,10,23,19,22,0
10531,0,0,18,0,13,25,22,27,0
10532,0,0,19,0,14,23,22,18,0
10533,0,0,22,0,18,20,29,19,0
10534,0,0,19,0,15,21,24,20,0
10535,0,0,17,0,14,21,28,18,0
10536,0,0,19,0,8,25,26,17,0
10537,0,0,24,0,18,16,18,13,0
10538,0,0,16,0,16,23,17,20,0
10539,0,0,17,0,18,23,24,29,0
10540,0,0,20,0,22,19,26,20,0
10541,0,0,18,0,16,19,16,25,0
10542,0,0,23,0,19,15,20,21,0
10543,0,0,15,0,16,11,26,20,0
10544,0,0,12,0,18,16,19,21,0
10545,0,0,18,0,28,18,21,28,0
10546,0,0,15,0,32,26,19,20,0
10547,0,0,19,0,19,21,20,20,0
10548,0,0,21,0,18,16,20,22,0
10549,0,0,15,0,25,21,24,18,0
10550,0,0,14,0,30,19,23,10,0
10551,0,0,16,0,19,13,13,23,0
10552,0,0,19,0,25,10,33,25,0
10553,0,0,21,0,22,17,19,17,0
10554,0,0,16,0,22,24,20,17,0
10555,0,0,28,0,25,8,23,28,0
10556,0,0,20,0,22,18,15,16,0
10557,0,0,22,0,21,20,18,19,0
10558,0,0,24,0,22,25,28,26,0
10559,0,0,22,0,16,24,22,11,0
10560,0,0,20,0,30,19,22,25,0
10561,0,0,26,0,22,29,17,16,0
10562,0,0,23,0,14,21,19,18,0
10563,0,0,23,0,18,16,20,21,0
10564,0,0,17,0,18,14,32,23,0
10565,0,0,23,0,18,21,21,21,0
10566,0,0,25,0,13,26,22,22,0
10567,0,0,33,0,14,17,25,15,0
10568,0,0,21,0,13,26,17,16,0
10569,0,0,18,0,14,9,20,21,0
10570,0,0,20,0,15,26,21,16,0
10571,0,0,20,0,8,23,20,17,0
10572,0,0,22,0,6,16,19,22,0
10573,0,0,14,0,18,17,15,20,0
10574,0,0,21,0,10,22,13,21,0
10575,0,0,19,0,19,23,25,26,0
10576,0,0,25,0,8,18,20,22,0
10577,0,0,19,0,8,16,17,24,0
10578,0,0,18,0,5,12,7,21,0
10579,0,0,14,0,3,24,24,13,0
10580,0,0,19,0,1,26,15,14,0
10581,0,0,24,0,5,25,19,22,0
10582,0,0,25,0,2,19,15,22,0
10583,0,0,18,0,5,26,15,22,0
10584,0,0,20,0,2,15,13,21,0
10585,0,0,17,0,1,19,16,23,0
10586,0,0,13,0,5,21,17,15,0
10587,0,0,19,0,3,15,22,16,0
10588,0,0,24,0,5,18,23,25,0
10589,0,0,23,0,0,18,18,21,0
10590,0,0,21,0,4,14,22,24,0
10591,0,0,23,0,4,16,12,24,0
10592,0,0,23,0,1,24,28,15,0
10593,0,0,11,0,1,22,20,13,0
10594,0,0,24,0,1,22,19,17,0
10595,0,0,23,0,0,15,21,20,0
10596,0,0,19,0,3,27,23,21,0
10597,0,0,25,0,0,21,23,24,0
10598,0,0,19,0,2,21,27,14,0
10599,0,0,14,0,0,16,26,17,0
10600,0,0,24,0,0,22,14,20,0
10601,0,0,26,0,1,17,14,21,0
10602,0,0,19,0,1,19,16,25,0
10603,0,0,23,0,0,27,21,16,0
10604,0,0,17,0,1,18,24,21,0
10605,0,0,21,0,1,17,15,20,0
10606,0,0,19,0,0,26,22,20,0
10607,0,0,13,0,0,20,22,26,0
10608,0,0,22,0,0,13,16,14,0
10609,0,0,23,0,0,15,18,11,0
10610,0,0,14,0,1,18,22,26,0
10611,0,0,20,0,1,22,24,26,0
10612,0,0,17,0,0,20,19,23,0
10613,0,0,21,0,0,24,24,15,0
10614,0,0,20,0,0,21,25,24,0
10615,0,0,21,0,2,20,28,20,0
10616,0,0,31,0,0,18,16,24,0
10617,0,0,18,0,0,15,9,19,0
10618,0,0,20,0,1,28,28,24,0
10619,0,0,36,0,0,21,10,25,0
10620,0,0,24,0,0,19,15,18,0
10621,0,0,14,0,4,29,22,17,0
10622,0,0,14,0,2,20,15,18,0
10623,0,0,12,0,1,19,25,24,0
10624,0,0,28,0,1,18,25,22,0
10625,0,0,13,0,2,20,17,25,0
10626,0,0,26,0,4,12,26,26,0
10627,0,0,21,0,5,17,24,22,0
10628,0,0,24,0,9,15,13,17,0
10629,0,0,27,0,3,18,19,19,0
10630,0,0,27,0,6,20,34,25,0
10631,0,0,16,0,4,20,16,17,0
10632,0,0,19,0,7,22,15,12,0
10633,0,0,16,0,12,15,16,16,0
10634,0,0,14,0,15,22,21,26,0
10635,0,0,21,0,8,18,33,19,0
10636,0,0,12,0,8,20,25,19,0
10637,0,0,17,0,17,15,28,22,0
10638,0,0,16,0,8,22,25,15,0
10639,0,0,21,0,13,19,20,20,0
10640,0,0,21,0,12,20,23,15,0
10641,0,0,13,0,8,20,19,22,0
10642,0,0,18,0,19,19,20,21,0
10643,0,0,23,0,21,22,22,30,0
10644,0,0,27,0,8,23,24,18,0
10645,0,0,14,0,23,23,18,19,0
10646,0,0,26,0,17,24,23,20,0
10647,0,0,25,0,22,16,30,28,0
10648,0,0,23,0,21,24,16,22,0
10649,0,0,19,0,33,22,23,17,0
10650,0,0,20,0,18,28,18,28,0
10651,0,0,24,0,23,26,13,17,0
10652,0,0,25,0,23,18,12,19,0
10653,0,0,19,0,27,25,19,14,0
10654,0,0,19,0,25,27,25,25,0
10655,0,0,35,0,31,15,24,26,0
10656,0,0,17,0,25,20,24,23,0
10657,0,0,25,0,23,13,20,10,0
10658,0,0,13,0,28,18,20,18,0
10659,0,0,23,0,27,19,20,15,0
10660,0,0,15,0,22,16,25,18,0
10661,0,0,31,0,31,23,19,15,0
10662,0,0,16,0,28,17,27,27,0
10663,0,0,17,0,29,13,23,25,0
10664,0,0,17,0,25,20,23,20,0
10665,0,0,25,0,26,20,19,30,0
10666,0,0,19,0,18,20,19,18,0
10667,0,0,13,0,25,22,26,23,0
10668,0,0,32,0,22,17,19,16,0
10669,0,0,13,0,28,14,25,16,0
10670,0,0,20,0,21,23,18,26,0
10671,0,0,19,0,24,20,19,24,0
10672,0,0,21,0,17,19,23,33,0
10673,0,0,34,0,18,25,17,30,0
10674,0,0,21,0,15,24,17,18,0
10675,0,0,20,0,13,16,15,23,0
10676,0,0,20,0,18,19,16,22,0
10677,0,0,23,0,17,25,16,17,0
10678,0,0,25,0,18,18,29,8,0
10679,0,0,14,0,12,30,19,17,0
10680,0,0,30,0,13,20,14,21,0
10681,0,0,25,0,7,14,19,16,0
10682,0,0,20,0,11,9,23,18,0
10683,0,0,18,0,15,22,20,21,0
10684,0,0,16,0,13,17,23,21,0
